,,Total Vehicles
2023 /,03,820 882
,04,818 761
,05,818 685
,06,819 129
,07,817 718
,08,818 510
,09,815 971
,10,814 616
,11,815 085
,12,815 625
,,
2024 /,01,815 087
,02,813 322
,03,810 698
,04,813 956
,05,813 302
,06,811 084
,07,810 674
,08,809 557
